topic_id,macro_topic,source,subgroup,final_merge_group_id,component_micro_topic_id,component_topic_name,component_count,component_representation,component_order
academic_T1::academic_T1_PG01,T1,academic,academic_T1,academic_T1_PG01,0,0_anodes_cathodes_electrochemical_ions,2468,anodes · cathodes · electrochemical · ions · supercapacitors · supercapacitor · ionic · electrolyte · rechargeable · electrodes,1
academic_T1::academic_T1_PG01,T1,academic,academic_T1,academic_T1_PG01,1,1_syngas_electrocatalysts_catalysts_catalytic,1679,syngas · electrocatalysts · catalysts · catalytic · hydrogenation · catalysis · electrocatalytic · methanation · photoelectrochemical · electrochemical,2
academic_T1::academic_T1_PG01,T1,academic,academic_T1,academic_T1_PG01,15,15_inverters_inverter_statcom_vscs,300,inverters · inverter · statcom · vscs · simulink · generators · vsc · voltages · lvrt · compensator,3
academic_T1::academic_T1_PG01,T1,academic,academic_T1,academic_T1_PG01,27,27_pv_photovoltaic_pvsol_kwh,218,pv · photovoltaic · pvsol · kwh · pvis · spv · pvgis · pvsyst · feasibility · roofs,4
academic_T1::academic_T1_PG01,T1,academic,academic_T1,academic_T1_PG01,32,32_mppt_irrigation_pv_photovoltaic,194,mppt · irrigation · pv · photovoltaic · irrigated · irrigating · pumps · pump · brushless · centrifugal,5
academic_T1::academic_T1_PG01,T1,academic,academic_T1,academic_T1_PG01,33,33_pcm_pcms_thermal_supercooling,190,pcm · pcms · thermal · supercooling · solidification · electrothermal · cooling · pcesms · refrigeration · thermochemical,6
academic_T1::academic_T1_PG01,T1,academic,academic_T1,academic_T1_PG01,36,36_microgrids_microgrid_metaheuristics_metaheuristic,178,microgrids · microgrid · metaheuristics · metaheuristic · pso · optimization · kwh · algorithms · swarm · optimisation,7
academic_T1::academic_T1_PG01,T1,academic,academic_T1,academic_T1_PG01,37,37_pv_photovoltaic_photovoltaics_bipvgreen,176,pv · photovoltaic · photovoltaics · bipvgreen · daylighting · bim · bipvs · roofs · bipv · façades,8
academic_T1::academic_T1_PG01,T1,academic,academic_T1,academic_T1_PG01,39,39_concentrator_gemasolar_thermal_csp,168,concentrator · gemasolar · thermal · csp · nanofluids · cooling · nanofluid · kwh · reflectors · refrigeration,9
academic_T1::academic_T1_PG01,T1,academic,academic_T1,academic_T1_PG01,40,40_photovoltaic_pv_irradiance_actuators,164,photovoltaic · pv · irradiance · actuators · trackers · sensors · tracker · tracking · sunlight · servo,10
academic_T1::academic_T1_PG01,T1,academic,academic_T1,academic_T1_PG01,45,45_mppt_pv_photovoltaic_pso,151,mppt · pv · photovoltaic · pso · irradiance · simulink · metaheuristic · inverter · nonlinear · algorithms,11
academic_T1::academic_T1_PG01,T1,academic,academic_T1,academic_T1_PG01,49,49_hydroelectricity_hydropower_hydroelectric_hydro,140,hydroelectricity · hydropower · hydroelectric · hydro · decarbonization · batteries · flywheel · flywheels · dam · vanadium,12
academic_T1::academic_T1_PG01,T1,academic,academic_T1,academic_T1_PG01,60,60_bes_besss_eesss_pesss,121,bes · besss · eesss · pesss · bess · pess · battery · stability · esss · intermittent,13
academic_T1::academic_T1_PG01,T1,academic,academic_T1,academic_T1_PG01,62,62_bioelectrochemical_biofcs_biobattery_biobatteries,119,bioelectrochemical · biofcs · biobattery · biobatteries · microbial · bioelectricity · microalgae · mfcs · biofuel · mfc,14
academic_T1::academic_T1_PG01,T1,academic,academic_T1,academic_T1_PG01,64,64_thermoelectric_thermoelectrochemical_thermoelectricity_thermocells,117,thermoelectric · thermoelectrochemical · thermoelectricity · thermocells · thermomagnetic · thermoradiative · thermo · teg · thermal · thermoacoustic,15
academic_T1::academic_T1_PG01,T1,academic,academic_T1,academic_T1_PG01,70,70_metaheuristic_ieee_optimization_pso,102,metaheuristic · ieee · optimization · pso · reconfiguration · reliability · distributed · algorithm · voltages · swarm,16
academic_T1::academic_T1_PG01,T1,academic,academic_T1,academic_T1_PG01,71,71_mppt_iot_photovoltaic_pv,95,mppt · iot · photovoltaic · pv · sensors · microcontrollers · irradiance · sensor · scada · monitoring,17
academic_T1::academic_T1_PG01,T1,academic,academic_T1,academic_T1_PG01,73,73_chemrxiv_chemsuschem_electrochem_chem,91,chemrxiv · chemsuschem · electrochem · chem · ecs · arxiv · phys · references · electrochim · soc,18
academic_T1::academic_T1_PG01,T1,academic,academic_T1,academic_T1_PG01,76,76_pv_fpvs_hydropower_fpvss,88,pv · fpvs · hydropower · fpvss · photovoltaic · fpv · photovoltaics · hydroelectric · pvpps · fspv,19
academic_T1::academic_T1_PG01,T1,academic,academic_T1,academic_T1_PG01,78,78_inverters_inverter_diodes_pwm,79,inverters · inverter · diodes · pwm · multilevel · converters · semiconductor · voltages · spwm · diode,20
academic_T1::academic_T1_PG01,T1,academic,academic_T1,academic_T1_PG01,79,79_perovskites_perovskite_pv_photovoltaic,76,perovskites · perovskite · pv · photovoltaic · photovoltaics · heterojunction · silicon · siliconpv · monocrystalline · manufacturing,21
