macro_topic,macro_topic_name,corporate_subgroup,corporate_final_merge_group_id,corporate_topic_label,corporate_topic_summary,year,series_role,source,year_frequency,denominator_source_docs_in_macro_topic,relative_share_of_macro_topic_source_docs,year_document_count,annual_source_macro_document_count,annual_document_prevalence,n_contributing_external_topics,contributing_external_group_count,contributing_external_groups_json,series_unique_document_count,series_topic_size_count,corporate_topic_size_count,corporate_group_size_count,corporate_unique_document_count,corporate_topic_id
T1,Clean energy transition,corporate_T1,corporate_T1_S004,Energy Supply Chain Vulnerabilities in Mining,"The micro-topic tracks the evolution of mining's dependence on energy and utilities, moving from localized supply chain risks to broader themes of energy source competition, regulatory shifts, and the transition toward decarbonization.",2000,academic_aggregate,academic,0,19586,0.0,0,9,0.0,0,0,[],0,0,50,1,47,corporate_T1::corporate_T1_S004
T1,Clean energy transition,corporate_T1,corporate_T1_S004,Energy Supply Chain Vulnerabilities in Mining,"The micro-topic tracks the evolution of mining's dependence on energy and utilities, moving from localized supply chain risks to broader themes of energy source competition, regulatory shifts, and the transition toward decarbonization.",2001,academic_aggregate,academic,0,19586,0.0,0,23,0.0,0,0,[],0,0,50,1,47,corporate_T1::corporate_T1_S004
T1,Clean energy transition,corporate_T1,corporate_T1_S004,Energy Supply Chain Vulnerabilities in Mining,"The micro-topic tracks the evolution of mining's dependence on energy and utilities, moving from localized supply chain risks to broader themes of energy source competition, regulatory shifts, and the transition toward decarbonization.",2002,academic_aggregate,academic,0,19586,0.0,0,21,0.0,0,0,[],0,0,50,1,47,corporate_T1::corporate_T1_S004
T1,Clean energy transition,corporate_T1,corporate_T1_S004,Energy Supply Chain Vulnerabilities in Mining,"The micro-topic tracks the evolution of mining's dependence on energy and utilities, moving from localized supply chain risks to broader themes of energy source competition, regulatory shifts, and the transition toward decarbonization.",2003,academic_aggregate,academic,0,19586,0.0,0,18,0.0,0,0,[],0,0,50,1,47,corporate_T1::corporate_T1_S004
T1,Clean energy transition,corporate_T1,corporate_T1_S004,Energy Supply Chain Vulnerabilities in Mining,"The micro-topic tracks the evolution of mining's dependence on energy and utilities, moving from localized supply chain risks to broader themes of energy source competition, regulatory shifts, and the transition toward decarbonization.",2004,academic_aggregate,academic,0,19586,0.0,0,24,0.0,0,0,[],0,0,50,1,47,corporate_T1::corporate_T1_S004
T1,Clean energy transition,corporate_T1,corporate_T1_S004,Energy Supply Chain Vulnerabilities in Mining,"The micro-topic tracks the evolution of mining's dependence on energy and utilities, moving from localized supply chain risks to broader themes of energy source competition, regulatory shifts, and the transition toward decarbonization.",2005,academic_aggregate,academic,0,19586,0.0,0,38,0.0,0,0,[],0,0,50,1,47,corporate_T1::corporate_T1_S004
T1,Clean energy transition,corporate_T1,corporate_T1_S004,Energy Supply Chain Vulnerabilities in Mining,"The micro-topic tracks the evolution of mining's dependence on energy and utilities, moving from localized supply chain risks to broader themes of energy source competition, regulatory shifts, and the transition toward decarbonization.",2006,academic_aggregate,academic,0,19586,0.0,0,50,0.0,0,0,[],0,0,50,1,47,corporate_T1::corporate_T1_S004
T1,Clean energy transition,corporate_T1,corporate_T1_S004,Energy Supply Chain Vulnerabilities in Mining,"The micro-topic tracks the evolution of mining's dependence on energy and utilities, moving from localized supply chain risks to broader themes of energy source competition, regulatory shifts, and the transition toward decarbonization.",2007,academic_aggregate,academic,0,19586,0.0,0,50,0.0,0,0,[],0,0,50,1,47,corporate_T1::corporate_T1_S004
T1,Clean energy transition,corporate_T1,corporate_T1_S004,Energy Supply Chain Vulnerabilities in Mining,"The micro-topic tracks the evolution of mining's dependence on energy and utilities, moving from localized supply chain risks to broader themes of energy source competition, regulatory shifts, and the transition toward decarbonization.",2008,academic_aggregate,academic,0,19586,0.0,0,75,0.0,0,0,[],0,0,50,1,47,corporate_T1::corporate_T1_S004
T1,Clean energy transition,corporate_T1,corporate_T1_S004,Energy Supply Chain Vulnerabilities in Mining,"The micro-topic tracks the evolution of mining's dependence on energy and utilities, moving from localized supply chain risks to broader themes of energy source competition, regulatory shifts, and the transition toward decarbonization.",2009,academic_aggregate,academic,0,19586,0.0,0,73,0.0,0,0,[],0,0,50,1,47,corporate_T1::corporate_T1_S004
T1,Clean energy transition,corporate_T1,corporate_T1_S004,Energy Supply Chain Vulnerabilities in Mining,"The micro-topic tracks the evolution of mining's dependence on energy and utilities, moving from localized supply chain risks to broader themes of energy source competition, regulatory shifts, and the transition toward decarbonization.",2010,academic_aggregate,academic,0,19586,0.0,0,119,0.0,0,0,[],0,0,50,1,47,corporate_T1::corporate_T1_S004
T1,Clean energy transition,corporate_T1,corporate_T1_S004,Energy Supply Chain Vulnerabilities in Mining,"The micro-topic tracks the evolution of mining's dependence on energy and utilities, moving from localized supply chain risks to broader themes of energy source competition, regulatory shifts, and the transition toward decarbonization.",2011,academic_aggregate,academic,0,19586,0.0,0,136,0.0,0,0,[],0,0,50,1,47,corporate_T1::corporate_T1_S004
T1,Clean energy transition,corporate_T1,corporate_T1_S004,Energy Supply Chain Vulnerabilities in Mining,"The micro-topic tracks the evolution of mining's dependence on energy and utilities, moving from localized supply chain risks to broader themes of energy source competition, regulatory shifts, and the transition toward decarbonization.",2012,academic_aggregate,academic,0,19586,0.0,0,181,0.0,0,0,[],0,0,50,1,47,corporate_T1::corporate_T1_S004
T1,Clean energy transition,corporate_T1,corporate_T1_S004,Energy Supply Chain Vulnerabilities in Mining,"The micro-topic tracks the evolution of mining's dependence on energy and utilities, moving from localized supply chain risks to broader themes of energy source competition, regulatory shifts, and the transition toward decarbonization.",2013,academic_aggregate,academic,0,19586,0.0,0,215,0.0,0,0,[],0,0,50,1,47,corporate_T1::corporate_T1_S004
T1,Clean energy transition,corporate_T1,corporate_T1_S004,Energy Supply Chain Vulnerabilities in Mining,"The micro-topic tracks the evolution of mining's dependence on energy and utilities, moving from localized supply chain risks to broader themes of energy source competition, regulatory shifts, and the transition toward decarbonization.",2014,academic_aggregate,academic,0,19586,0.0,0,272,0.0,0,0,[],0,0,50,1,47,corporate_T1::corporate_T1_S004
