relation_id,macro_topic,macro_topic_name,corporate_topic_label,external_source,external_relation_label,corporate_unique_document_count,external_unique_document_count,spearman_r,spearman_p,corporate_first_active_year,external_first_active_year,first_active_year_gap,corporate_peak_year,external_peak_year,peak_year_gap,peak_analysis_result,external_prior_exposure_3y_sum,external_prior_exposure_3y_mean,corporate_onset_prevalence,corporate_following_3y_max_prevalence,corporate_later_growth_3y,prior_exposure_later_growth_pattern
aggregate::0001,T1,Clean energy transition,Energy Supply Chain Vulnerabilities in Mining,media,media aggregate,47,78,-0.0561006307060838,0.7993061533453917,2008,2004,4.0,2025,2022,3.0,External peaks before corporate (corporate peak: 2025; external peak: 2022; gap: 3),0.04,0.0133333333333333,0.0769230769230769,0.1666666666666666,0.0897435897435897,external_prior_exposure_with_later_corporate_growth
aggregate::0002,T1,Clean energy transition,Evolution of Demand Drivers in Energy Transition,academic,academic aggregate,63,19274,-0.6353596215867987,0.0011233535113973,2007,2000,7.0,2023,2004,19.0,External peaks before corporate (corporate peak: 2023; external peak: 2004; gap: 19),2.907368421052632,0.969122807017544,0.1666666666666666,0.0769230769230769,-0.0897435897435897,external_prior_exposure_without_later_corporate_growth
aggregate::0003,T1,Clean energy transition,Evolution of Demand Drivers in Energy Transition,media,media aggregate,63,1287,0.5409892885949549,0.0076853779433199,2007,2000,7.0,2023,2025,-2.0,Corporate peaks before external (corporate peak: 2023; external peak: 2025; gap: -2),2.5844444444444443,0.8614814814814814,0.1666666666666666,0.0769230769230769,-0.0897435897435897,external_prior_exposure_without_later_corporate_growth
aggregate::0004,T2,Operational sustainability and circular production,Commercialization Pathway of Processed Coal and Feedstocks,academic,academic aggregate,22,3041,0.342503049212855,0.0937440738799712,2007,2000,7.0,2007,2011,-4.0,Corporate peaks before external (corporate peak: 2007; external peak: 2011; gap: -4),0.445857771260997,0.148619257086999,0.1666666666666666,0.1428571428571428,-0.0238095238095238,external_prior_exposure_without_later_corporate_growth
aggregate::0005,T2,Operational sustainability and circular production,Regulatory evolution of fracking wastewater management,academic,academic aggregate,40,1306,-0.441479682793831,0.0271534743330394,2011,2000,11.0,2025,2000,25.0,External peaks before corporate (corporate peak: 2025; external peak: 2000; gap: 25),0.4378881987577638,0.1459627329192546,0.08,0.1081081081081081,0.0281081081081081,external_prior_exposure_with_later_corporate_growth
aggregate::0006,T2,Operational sustainability and circular production,Substance Liability and Regulatory Compliance,academic,academic aggregate,96,245,0.0011551798235117,0.9956274736262952,2002,2000,2.0,2003,2003,0.0,Synchronous peak (corporate peak: 2003; external peak: 2003; gap: 0),0.1514726507713883,0.0757363253856941,0.3333333333333333,0.4,0.0666666666666667,external_prior_exposure_with_later_corporate_growth
aggregate::0007,T3,"Sustainable products, services and consumption",Biochar/Biofraction Production via Pyrolysis,academic,academic aggregate,6,8530,-0.2364895537064831,0.3020230703198941,2012,2000,12.0,2012,2008,4.0,External peaks before corporate (corporate peak: 2012; external peak: 2008; gap: 4),0.5083164419173927,0.1694388139724642,0.1428571428571428,0.0,-0.1428571428571428,external_prior_exposure_without_later_corporate_growth
aggregate::0008,T3,"Sustainable products, services and consumption",Consumer Market Dynamics and Competitive Pressure,academic,academic aggregate,18,3955,0.1843730236123968,0.4236750861712134,2010,2000,10.0,2011,2022,-11.0,Corporate peaks before external (corporate peak: 2011; external peak: 2022; gap: -11),0.0448123237264233,0.0149374412421411,0.1666666666666666,0.3333333333333333,0.1666666666666667,external_prior_exposure_with_later_corporate_growth
aggregate::0009,T3,"Sustainable products, services and consumption",ESG and Stakeholder Pressure on Emissions and Consumption,academic,academic aggregate,41,22096,-0.460812071661305,0.0355220623333906,2008,2000,8.0,2025,2001,24.0,External peaks before corporate (corporate peak: 2025; external peak: 2001; gap: 24),1.3647663877909206,0.4549221292636402,0.5,0.5,0.0,external_prior_exposure_without_later_corporate_growth
aggregate::0010,T3,"Sustainable products, services and consumption",ESG and Stakeholder Pressure on Emissions and Consumption,media,media aggregate,41,7337,0.1786455883639446,0.4384625182609993,2008,2000,8.0,2025,2019,6.0,External peaks before corporate (corporate peak: 2025; external peak: 2019; gap: 6),3.0,1.0,0.5,0.5,0.0,external_prior_exposure_without_later_corporate_growth
