topic_id,year,top_words_json,representative_docs_json,public_safe
academic_T1::academic_T1_PG01,2000,"[""pem"", ""catalytic"", ""kilowattpromises"", ""electrolyzers"", ""turbines""]","[{""year"": 2000, ""source"": ""academic"", ""chunk_id"": ""paper::0f39d295e242584c9442ff72106712b91125a1dc::chunk_0001"", ""source_doc_id"": ""0f39d295e242584c9442ff72106712b91125a1dc"", ""document_id"": ""0f39d295e242584c9442ff72106712b91125a1dc"", ""source_link"": ""https://www.semanticscholar.org/paper/0f39d295e242584c9442ff72106712b91125a1dc"", ""micro_topic_probability"": 0.6836384087856081, ""snippet"": ""The early entry market penetration by ONSI and its phosphoricacid fuel cell (PAFC) technology has proven that fuel cells are reliableand suitable for premium power and other opportunity fuel niche ap-plications. Now, new fuel cell technologies—solid oxide fuel cells,molten carbonate fuel cells, and polymer electrolyte fuel cells—arebeing developed for early ..."", ""is_truncated"": true}, {""year"": 2000, ""source"": ""academic"", ""chunk_id"": ""paper::1a30495e4d8f1badddb546d0286d11083f050b30::chunk_0001"", ""source_doc_id"": ""1a30495e4d8f1badddb546d0286d11083f050b30"", ""document_id"": ""1a30495e4d8f1badddb546d0286d11083f050b30"", ""source_link"": ""https://www.semanticscholar.org/paper/1a30495e4d8f1badddb546d0286d11083f050b30"", ""micro_topic_probability"": 0.6725252388030881, ""snippet"": ""The early entry market penetration by ONSI and its phosphoric acid fuel cell (PAFC) technology has proven that fuel cells are reliable and suitable for premium power and other opportunity fuel niche applications. Now, new fuel cell technologies—solid oxide fuel cells, molten carbonate fuel cells, and polymer electrolyte fuel cells—are being developed for ..."", ""is_truncated"": true}]",True
academic_T1::academic_T1_PG01,2001,"[""hydrogen"", ""fuel"", ""petroleum"", ""gasoline"", ""gas""]","[{""year"": 2001, ""source"": ""academic"", ""chunk_id"": ""paper::20f2f0c9e63e46c1fb41630fbe86174a8cd848bd::chunk_0001"", ""source_doc_id"": ""20f2f0c9e63e46c1fb41630fbe86174a8cd848bd"", ""document_id"": ""20f2f0c9e63e46c1fb41630fbe86174a8cd848bd"", ""source_link"": ""https://www.semanticscholar.org/paper/20f2f0c9e63e46c1fb41630fbe86174a8cd848bd"", ""micro_topic_probability"": 1.0, ""snippet"": ""Fossil fuels (i.e., petroleum, natural gas and coal), which meet most of the world energy demand today, are being depleted fast. Also, their combustion products are causing the global problems, such as the greenhouse effect, ozone layer depletion, acid rains and pollution, which we are posing great danger for our environment and eventually for the life in ..."", ""is_truncated"": true}, {""year"": 2001, ""source"": ""academic"", ""chunk_id"": ""paper::8318462ef1e21c151da480e1400de878de6b2a6a::chunk_0001"", ""source_doc_id"": ""8318462ef1e21c151da480e1400de878de6b2a6a"", ""document_id"": ""8318462ef1e21c151da480e1400de878de6b2a6a"", ""source_link"": ""https://www.semanticscholar.org/paper/8318462ef1e21c151da480e1400de878de6b2a6a"", ""micro_topic_probability"": 1.0, ""snippet"": ""Hydrogen gas is thought to be the ideal fuel for a world in which air pollution has been alleviated, global warming has been arrested, and the environment has been protected in an economically sustainable manner. Hydrogen and electricity could team to provide attractive options in transportation and power generation. Interconversion between these two forms ..."", ""is_truncated"": true}, {""year"": 2001, ""source"": ""academic"", ""chunk_id"": ""paper::429108736650dcba47e43ded7b73027bb1951cbf::chunk_0001"", ""source_doc_id"": ""429108736650dcba47e43ded7b73027bb1951cbf"", ""document_id"": ""429108736650dcba47e43ded7b73027bb1951cbf"", ""source_link"": ""https://www.semanticscholar.org/paper/429108736650dcba47e43ded7b73027bb1951cbf"", ""micro_topic_probability"": 0.9293430668967979, ""snippet"": ""Throughout India, the operation of lift irrigation systems ('pumpsets') is grossly inefficient, resulting in massive over-consumption of energy and inadequate irrigation, limiting agricultural productivity growth and resulting in the reduced welfare of smallholder farmers. This paper examines the potential for pumpset 'rectification', a development ..."", ""is_truncated"": true}]",True
academic_T1::academic_T1_PG01,2002,"[""electrochemical"", ""pseudocapacitive"", ""electrocatalytic"", ""voltammogram"", ""cathode""]","[{""year"": 2002, ""source"": ""academic"", ""chunk_id"": ""paper::0a264b563557c794412c74a6a5766317fab98938::chunk_0001"", ""source_doc_id"": ""0a264b563557c794412c74a6a5766317fab98938"", ""document_id"": ""0a264b563557c794412c74a6a5766317fab98938"", ""source_link"": ""https://www.semanticscholar.org/paper/0a264b563557c794412c74a6a5766317fab98938"", ""micro_topic_probability"": 1.0, ""snippet"": ""Energetics of a novel zinc−sulfur charge storage (generalized as Zn + S → ZnS) is explored to access the high (>1000 Ah/kg) charge capacity of sulfur. At 25 °C, the theoretical energy density of the complete Zn/S system is a high 572 Wh/kg, at E° = 1.04 V. From 273 to 373 K, the thermodynamic cell potential for 29 possible solution-phase reactions of the ..."", ""is_truncated"": true}, {""year"": 2002, ""source"": ""academic"", ""chunk_id"": ""paper::70c852436103ae205023cdb30f7368ee12a7b5fd::chunk_0001"", ""source_doc_id"": ""70c852436103ae205023cdb30f7368ee12a7b5fd"", ""document_id"": ""70c852436103ae205023cdb30f7368ee12a7b5fd"", ""source_link"": ""https://www.semanticscholar.org/paper/70c852436103ae205023cdb30f7368ee12a7b5fd"", ""micro_topic_probability"": 1.0, ""snippet"": ""The electrochemical performance of 3d metal oxide (MO) electrode materials for Li-ion batteries was studied in the form of Li/CoO(Co 3 O 4 ) half-cells. Reversible capacity in the 750-1000 mAh/g range was achieved and sustained over numerous charge-discharge cycles both at room temperature and at 55°C. The studied oxides were then used as negative-electrode ..."", ""is_truncated"": true}, {""year"": 2002, ""source"": ""academic"", ""chunk_id"": ""paper::18e62fee9ba5493deb2ca2696fd929fe2fef2701::chunk_0001"", ""source_doc_id"": ""18e62fee9ba5493deb2ca2696fd929fe2fef2701"", ""document_id"": ""18e62fee9ba5493deb2ca2696fd929fe2fef2701"", ""source_link"": ""https://www.semanticscholar.org/paper/18e62fee9ba5493deb2ca2696fd929fe2fef2701"", ""micro_topic_probability"": 0.823246131569312, ""snippet"": ""Biomass, a product of photosynthesis, is a renewable resource that can be used for sustainable production of hydrogen. We propose an approach that combines production of hydrogen with valuable coproducts and shows promising economics. The concept is based on a two-stage process: fast pyrolysis of biomass to generate bio-oil, followed by catalytic steam ..."", ""is_truncated"": true}]",True
academic_T1::academic_T1_PG01,2003,"[""rechargeable"", ""cathodes"", ""batteries"", ""supercapacitors"", ""battery""]","[{""year"": 2003, ""source"": ""academic"", ""chunk_id"": ""paper::2edae78518bba754c3d329ec3b61a0b5c302af99::chunk_0001"", ""source_doc_id"": ""2edae78518bba754c3d329ec3b61a0b5c302af99"", ""document_id"": ""2edae78518bba754c3d329ec3b61a0b5c302af99"", ""source_link"": ""https://www.semanticscholar.org/paper/2edae78518bba754c3d329ec3b61a0b5c302af99"", ""micro_topic_probability"": 1.0, ""snippet"": ""This paper relates to development of a new generation of Li/S rechargeable batteries with energy density exceeding 180 Wh/kg and rate capability comparable with aqueous systems. The cells demonstrate 5 C discharge rate at -40°C. Retained energy and capacity at -40°C exceeded 60 and 80%, respectively. At room temperature cells generate specific power up to ..."", ""is_truncated"": true}]",True
academic_T1::academic_T1_PG01,2004,"[""cathodes"", ""electrodes"", ""cathode"", ""electrolyte"", ""electrode""]","[{""year"": 2004, ""source"": ""academic"", ""chunk_id"": ""paper::06b8e1d8500b2210d7dad879143d5a76a543253f::chunk_0001"", ""source_doc_id"": ""06b8e1d8500b2210d7dad879143d5a76a543253f"", ""document_id"": ""06b8e1d8500b2210d7dad879143d5a76a543253f"", ""source_link"": ""https://www.semanticscholar.org/paper/06b8e1d8500b2210d7dad879143d5a76a543253f"", ""micro_topic_probability"": 1.0, ""snippet"": ""A polymer lithium-ion battery, formed by a Li 4/3 Ti 5/3 O 4 -LiFePO 4 electrode combination and a poly(vinylidene fluoride) (PVdF)-based gel electrolyte, is presented and discussed. The electrochemical characterization demonstrates that this battery is capable of delivering appreciable capacity values at rates ranging from C/32 (160 mAh g -1 ) to 0.75C ..."", ""is_truncated"": true}, {""year"": 2004, ""source"": ""academic"", ""chunk_id"": ""paper::98aa9fa4d79bbe137c9938a2ed1f4bdf2d6ace1a::chunk_0001"", ""source_doc_id"": ""98aa9fa4d79bbe137c9938a2ed1f4bdf2d6ace1a"", ""document_id"": ""98aa9fa4d79bbe137c9938a2ed1f4bdf2d6ace1a"", ""source_link"": ""https://www.semanticscholar.org/paper/98aa9fa4d79bbe137c9938a2ed1f4bdf2d6ace1a"", ""micro_topic_probability"": 1.0, ""snippet"": ""We report on a consultation with a panel of senior technical managers within the European process industries. The outcome of the consultation is that, with known and foreseeable technology, the European industry could remain profitable, and reduce pollution by over 20% within 10 years. This paper reports the tools and technologies that are perceived to be ..."", ""is_truncated"": true}, {""year"": 2004, ""source"": ""academic"", ""chunk_id"": ""paper::c5d7e1844b31181413b66507c8bfcadf9268062d::chunk_0001"", ""source_doc_id"": ""c5d7e1844b31181413b66507c8bfcadf9268062d"", ""document_id"": ""c5d7e1844b31181413b66507c8bfcadf9268062d"", ""source_link"": ""https://www.semanticscholar.org/paper/c5d7e1844b31181413b66507c8bfcadf9268062d"", ""micro_topic_probability"": 1.0, ""snippet"": ""Based on the analysis of the status quo and the outlook for China's energy, challenges facing China in energy sector are presented. Basic characteristics that should be stressed by Chinaâ€™s energy sustainable development are brought forward. It is concluded that transition to hydrogen is an effective solution to the energy problems and challenges. China's ..."", ""is_truncated"": true}]",True
academic_T1::academic_T1_PG01,2005,"[""electrodes"", ""electrolyte"", ""electrolytic"", ""aluminum"", ""100v""]","[{""year"": 2005, ""source"": ""academic"", ""chunk_id"": ""paper::14476b19475475cf25633ab85861ab6c586eb7da::chunk_0001"", ""source_doc_id"": ""14476b19475475cf25633ab85861ab6c586eb7da"", ""document_id"": ""14476b19475475cf25633ab85861ab6c586eb7da"", ""source_link"": ""https://www.semanticscholar.org/paper/14476b19475475cf25633ab85861ab6c586eb7da"", ""micro_topic_probability"": 1.0, ""snippet"": ""New types of polymer lithium ion batteries, formed by combining a Li 4 Ti 5 O 1 2 anode with a LiMn 2 O 4 and a LiNi 0 . 5 Mn 1 . 5 O 4 cathode, respectively, in a poly(vinylidene fluoride) PVdF-based gel electrolyte cell, arepresented and discussed. The operating voltage is around 2.5 V for the battery based on LiMn 2 O 4 and around 3.0 V for that based on ..."", ""is_truncated"": true}, {""year"": 2005, ""source"": ""academic"", ""chunk_id"": ""paper::15328451c776a2a4bb75b06ba01878cf64b821d4::chunk_0001"", ""source_doc_id"": ""15328451c776a2a4bb75b06ba01878cf64b821d4"", ""document_id"": ""15328451c776a2a4bb75b06ba01878cf64b821d4"", ""source_link"": ""https://www.semanticscholar.org/paper/15328451c776a2a4bb75b06ba01878cf64b821d4"", ""micro_topic_probability"": 1.0, ""snippet"": ""The third-generation 1kW e -class module was developed with an automatic control system. A conversion efficiency of 48% [AC/LHV] was achieved with an exhaust heat recovery unit. An endurance test using the third-generation 1 kW e module has been done for over 1000 hours and no degradation in the power generation performance was observed. In parallel, a ..."", ""is_truncated"": true}, {""year"": 2005, ""source"": ""academic"", ""chunk_id"": ""paper::90e5dfed13dedbe8ca53c69b5d251a7ff29a0f0d::chunk_0001"", ""source_doc_id"": ""90e5dfed13dedbe8ca53c69b5d251a7ff29a0f0d"", ""document_id"": ""90e5dfed13dedbe8ca53c69b5d251a7ff29a0f0d"", ""source_link"": ""https://www.semanticscholar.org/paper/90e5dfed13dedbe8ca53c69b5d251a7ff29a0f0d"", ""micro_topic_probability"": 1.0, ""snippet"": ""the effect of electrolyte type upon the resilience of lithium - ion cells to high - temperature storage has been investigated in experimental mesocarbon microbead carbon - li x ni y co 1 - y o 2 three - electrode cells. specifically, electrolytes have been studied where the solvent mixtures have been varied, with the intention of determining the impact of ..."", ""is_truncated"": true}]",True
academic_T1::academic_T1_PG01,2006,"[""cathodes"", ""rechargeable"", ""voltammetry"", ""cathode"", ""electrodes""]","[{""year"": 2006, ""source"": ""academic"", ""chunk_id"": ""paper::3c56586a83d986ca8085f293ac80118e24eda244::chunk_0001"", ""source_doc_id"": ""3c56586a83d986ca8085f293ac80118e24eda244"", ""document_id"": ""3c56586a83d986ca8085f293ac80118e24eda244"", ""source_link"": ""https://www.semanticscholar.org/paper/3c56586a83d986ca8085f293ac80118e24eda244"", ""micro_topic_probability"": 1.0, ""snippet"": ""We report the successful application of low-melting inorganic salts with protonated cations (e.g. ammonium) as electrolytes in fuel cells operating in the temperature range 100–200 °C, where even with unoptimized electrodes, cell performance is comparable to that of the phosphoric acid fuel cell operating with optimized electrodes in the same temperature ..."", ""is_truncated"": true}, {""year"": 2006, ""source"": ""academic"", ""chunk_id"": ""paper::805c44dc2310a676da2c2c1e72fd8d0760c4252c::chunk_0001"", ""source_doc_id"": ""805c44dc2310a676da2c2c1e72fd8d0760c4252c"", ""document_id"": ""805c44dc2310a676da2c2c1e72fd8d0760c4252c"", ""source_link"": ""https://www.semanticscholar.org/paper/805c44dc2310a676da2c2c1e72fd8d0760c4252c"", ""micro_topic_probability"": 1.0, ""snippet"": ""Rechargeable lithium batteries represent one of the most important developments in energy storage for 100 years, with the potential to address the key problem of global warming. However, their ability to store energy is limited by the quantity of lithium that may be removed from and reinserted into the positive intercalation electrode, Li(x)CoO(2), 0.5 < x ..."", ""is_truncated"": true}, {""year"": 2006, ""source"": ""academic"", ""chunk_id"": ""paper::888b7aa9bbaab1d54abf165aabdb72950dec89b1::chunk_0001"", ""source_doc_id"": ""888b7aa9bbaab1d54abf165aabdb72950dec89b1"", ""document_id"": ""888b7aa9bbaab1d54abf165aabdb72950dec89b1"", ""source_link"": ""https://www.semanticscholar.org/paper/888b7aa9bbaab1d54abf165aabdb72950dec89b1"", ""micro_topic_probability"": 1.0, ""snippet"": ""power generated by microbial fuel cells is computed as a product of current passing through an external resistor and voltage drop across this resistor. if the applied resistance is very low, then high instantaneous power generated by the cell is measured, which is not sustainable ; the cell cannot deliver that much power for long periods of time. since ..."", ""is_truncated"": true}]",True
academic_T1::academic_T1_PG01,2007,"[""supercapacitors"", ""electrochemical"", ""electrochemistry"", ""batteries"", ""ionic""]","[{""year"": 2007, ""source"": ""academic"", ""chunk_id"": ""paper::04c153d202f7da4870fe31f905792a6a0cae8ba0::chunk_0001"", ""source_doc_id"": ""04c153d202f7da4870fe31f905792a6a0cae8ba0"", ""document_id"": ""04c153d202f7da4870fe31f905792a6a0cae8ba0"", ""source_link"": ""https://www.semanticscholar.org/paper/04c153d202f7da4870fe31f905792a6a0cae8ba0"", ""micro_topic_probability"": 1.0, ""snippet"": ""This paper presents the characterization and sustainability assessment of an integrated scenario describing a number of demonstration projects currently planned along the proposed Hydrogen Highway™ in British Columbia (BC), Canada. The characterization reveals a large gap between the current activity and the projections of the Canadian National Energy Board ..."", ""is_truncated"": true}, {""year"": 2007, ""source"": ""academic"", ""chunk_id"": ""paper::2376ea173a1c62cd2439b76da3b1c69ec20f04f5::chunk_0001"", ""source_doc_id"": ""2376ea173a1c62cd2439b76da3b1c69ec20f04f5"", ""document_id"": ""2376ea173a1c62cd2439b76da3b1c69ec20f04f5"", ""source_link"": ""https://www.semanticscholar.org/paper/2376ea173a1c62cd2439b76da3b1c69ec20f04f5"", ""micro_topic_probability"": 1.0, ""snippet"": ""The global sustainability is a key word of the future energy system for human beings. It should be friendly to our earth. Hydrogen energy is a critical resource to sustainable energy development. Over the coming decades, rapid economic growth will necessitate expanded and diversified energy supplies. This study is proposed to illustrate the attention to the ..."", ""is_truncated"": true}, {""year"": 2007, ""source"": ""academic"", ""chunk_id"": ""paper::3d5c2399e7c4488298f863638f9d338cae9a1608::chunk_0001"", ""source_doc_id"": ""3d5c2399e7c4488298f863638f9d338cae9a1608"", ""document_id"": ""3d5c2399e7c4488298f863638f9d338cae9a1608"", ""source_link"": ""https://www.semanticscholar.org/paper/3d5c2399e7c4488298f863638f9d338cae9a1608"", ""micro_topic_probability"": 1.0, ""snippet"": ""Many ionic liquids offer a range of properties that make them attractive to the field of electrochemistry; indeed it was electrochemical research and applications that ushered in the modern era of interest in ionic liquids. In parallel with this, a variety of electrochemical devices including solar cells, high energy density batteries, fuel cells, and ..."", ""is_truncated"": true}]",True
academic_T1::academic_T1_PG01,2008,"[""electrochemical"", ""electrochemically"", ""biomimetic"", ""cathode"", ""redox""]","[{""year"": 2008, ""source"": ""academic"", ""chunk_id"": ""paper::1a3981107fbe5310f02188b8cea817db87a25535::chunk_0005"", ""source_doc_id"": ""1a3981107fbe5310f02188b8cea817db87a25535"", ""document_id"": ""1a3981107fbe5310f02188b8cea817db87a25535"", ""source_link"": ""https://www.semanticscholar.org/paper/1a3981107fbe5310f02188b8cea817db87a25535"", ""micro_topic_probability"": 1.0, ""snippet"": ""system ( frank a. de bruijn, bert rietveld, and ruud w. van den brink ). 14. 1 introduction. 14. 2 hydrogen production from natural gas. 14. 3 novel processes for hydrogen production with co2 capture. 14. 4 conclusions and catalytic challenges. references. 15 pathways to clean and green hydrogen ( gert j. kramer, joep p. p. huijsmans, and dave m. austgen ). ..."", ""is_truncated"": true}, {""year"": 2008, ""source"": ""academic"", ""chunk_id"": ""paper::218ce76d5985549580ba1356789f8bcabe13e5ba::chunk_0001"", ""source_doc_id"": ""218ce76d5985549580ba1356789f8bcabe13e5ba"", ""document_id"": ""218ce76d5985549580ba1356789f8bcabe13e5ba"", ""source_link"": ""https://www.semanticscholar.org/paper/218ce76d5985549580ba1356789f8bcabe13e5ba"", ""micro_topic_probability"": 1.0, ""snippet"": ""Abstract Residential use of hydrogen (H2), for utility or personal transportation, is currently limited by economic effectiveness, lack of residential sources, and need for engineering improvements. A modular photovoltaic hydrogen production prototype (PHPP) was constructed to produce three liters of hydrogen per day at standard temperature and pressure ..."", ""is_truncated"": true}, {""year"": 2008, ""source"": ""academic"", ""chunk_id"": ""paper::44852d785a8a0d9c7be93f9b02c744a90e603b9f::chunk_0001"", ""source_doc_id"": ""44852d785a8a0d9c7be93f9b02c744a90e603b9f"", ""document_id"": ""44852d785a8a0d9c7be93f9b02c744a90e603b9f"", ""source_link"": ""https://www.semanticscholar.org/paper/44852d785a8a0d9c7be93f9b02c744a90e603b9f"", ""micro_topic_probability"": 1.0, ""snippet"": ""Li-ion batteries presently operate on inorganic insertion compounds. The abundance and materials life-cycle costs of such batteries may present issues in the long term with foreseeable large-scale applications. To address the issue of sustainability of electrode materials, a radically different approach from the conventional route has been adopted to ..."", ""is_truncated"": true}]",True
academic_T1::academic_T1_PG01,2009,"[""nanoscale"", ""supercapacitors"", ""electrochemical"", ""physicochemical"", ""thermal""]","[{""year"": 2009, ""source"": ""academic"", ""chunk_id"": ""paper::0998d63ef00e073738cec0c461dc054c7eb3a917::chunk_0001"", ""source_doc_id"": ""0998d63ef00e073738cec0c461dc054c7eb3a917"", ""document_id"": ""0998d63ef00e073738cec0c461dc054c7eb3a917"", ""source_link"": ""https://www.semanticscholar.org/paper/0998d63ef00e073738cec0c461dc054c7eb3a917"", ""micro_topic_probability"": 1.0, ""snippet"": ""As global warming directly affects the ecosystems and humankind in the 21st century, attention and efforts are continuously being made to reduce the emission of greenhouse gases, especially carbon dioxide (CO2). In addition, there have been numerous efforts to electrochemically convert CO2 gas to small organic molecules (SOMs) and vice versa. Herein, we ..."", ""is_truncated"": true}, {""year"": 2009, ""source"": ""academic"", ""chunk_id"": ""paper::87053d3f84a3ab9399196290a2c334493d7b7c47::chunk_0001"", ""source_doc_id"": ""87053d3f84a3ab9399196290a2c334493d7b7c47"", ""document_id"": ""87053d3f84a3ab9399196290a2c334493d7b7c47"", ""source_link"": ""https://www.semanticscholar.org/paper/87053d3f84a3ab9399196290a2c334493d7b7c47"", ""micro_topic_probability"": 1.0, ""snippet"": ""We are reporting a model for accelerating Building Integrated Photovoltaic (BIPV) or Wind Turbine (BIWT) projects in the kingdom of Bahrain which consists of two parts. The first part is dealing with establishing a simple mathematical model to calculate the Sustainable Building Index (SBI) in the kingdom of Bahrain -which was published earlier. The second ..."", ""is_truncated"": true}, {""year"": 2009, ""source"": ""academic"", ""chunk_id"": ""paper::c0aa290906caf0c98a247095659a11c639d696ed::chunk_0001"", ""source_doc_id"": ""c0aa290906caf0c98a247095659a11c639d696ed"", ""document_id"": ""c0aa290906caf0c98a247095659a11c639d696ed"", ""source_link"": ""https://www.semanticscholar.org/paper/c0aa290906caf0c98a247095659a11c639d696ed"", ""micro_topic_probability"": 1.0, ""snippet"": ""Nuclear plants emit virtually no greenhouse gases over their full life-cycle. Consequently, continued operation of existing nuclear plants is recognized as essential to meeting even the modest greenhouse gas reduction targets of the Kyoto Accord. However, much expanded nuclear deployment will be needed as developing economies aggressively grow GDP with its ..."", ""is_truncated"": true}]",True
