topic_id,macro_topic,macro_topic_name,source,subgroup,final_merge_group_id,micro_topic_id,display_label,topic_name_original,topic_label_refined,overall_summary,phase_1_years,phase_2_years,phase_3_years,phase_4_years,phase_1_summary,phase_2_summary,phase_3_summary,phase_4_summary,evolution_pattern,evidence_note,paper_status,selection_bucket,noncorporate_inclusion_reason,best_matched_corporate_group_id,best_dyad,topic_size,group_size,active_year_count,active_year_min,active_year_max,overall_keywords
academic_T1::academic_T1_PG09,T1,Clean energy transition,academic,academic_T1,academic_T1_PG09,18,Agrivoltaics Technology Evolution,18_agrivoltaics_agrivoltaic_agrophotovoltaic_agriphotovoltaics,Agrivoltaics Technology Evolution,"The micro-topic traces the evolution of agrivoltaics from early concepts in closed ecological systems to highly technical, integrated systems focusing on land and energy optimization.",2009-2012,2014-2018,2019-2022,2023-2025,"Early conceptualization, focusing on closed ecological systems, bioregenerative life support, and initial deployment challenges like irrigation monitoring.","Emergence of the core agrivoltaics concept, focusing on microclimatic effects, integration into greenhouses, and initial climate change mitigation discussions.","Intensive focus on the synergistic potential, resource efficiency (land/water), and the development of policy/modeling frameworks for APV systems.","Maturation into advanced system design, heavily integrating sensor technology, AI, and hardware optimization (e.g., foldable panels) alongside hydroponic integration.",,,aligned,included_noncorporate,direct_pair_with_corporate_above_threshold,corporate_T1_PG04,academic__corporate,318,2,15,2009,2025,"[""agrivoltaics"", ""agrivoltaic"", ""agrophotovoltaic"", ""agriphotovoltaics"", ""hydroponics"", ""hydroponic"", ""crops"", ""greenhouses"", ""greenhouse"", ""croplands""]"
academic_T1::academic_T1_S084,T1,Clean energy transition,academic,academic_T1,academic_T1_S084,33,Bibliometric Analysis of Energy and Sustainability Trends,84_bibliometric_scientometric_scientometrics_bibliometrix,Bibliometric Analysis of Energy and Sustainability Trends,"This micro-topic consistently tracks the application of bibliometric and scientometric methodologies to map the evolution, structure, and trends within the literature concerning energy systems, sustainability, and renewable energy technologies across various international databases.",2014,2016-2018,2020-2022,2023-2025,"Initial focus on applying bibliometric methods to understand the intersection of applied engineering, economic development, and specific industrial sectors like manufacturing and mining.","Early development phase characterized by applying bibliometrics to visualize and quantify trends in global energy policy and renewable energy research, with an emerging focus on visualization techniques.","Intensification of the focus on quantitative analysis, specifically comparing database contents (Scopus vs. WoS) and mapping the structural evolution of research related to climate mitigation and sustainable development.","Maturity phase, characterized by highly consistent application of advanced bibliometric and scientometric tools to map complex themes like energy transitions, co-authorship networks, and the broader landscape of sustainable energy systems.",Steady Maturation and Deepening of Methodological Focus,"The evolution shows a clear progression from initial sectoral application (2014) to methodological refinement (2016-2018), followed by intense thematic mapping and comparison (2020-2022), culminating in a highly sophisticated, network-aware analysis of energy transitions (2023-2025).",aligned,included_noncorporate,direct_pair_with_corporate_above_threshold,corporate_T1_PG04,academic__corporate,68,1,9,2014,2025,"[""bibliometric"", ""scientometric"", ""scientometrics"", ""bibliometrix"", ""decarbonised"", ""trends"", ""papers"", ""scopus"", ""interdisciplinary"", ""scientopy""]"
academic_T1::academic_T1_S004,T1,Clean energy transition,academic,academic_T1,academic_T1_S004,3,Biomass Energy Conversion Pathways and Sustainability Assessment,4_bioenergy_biomass_gasification_biorefinery,Biomass Energy Conversion Pathways and Sustainability Assessment,"The micro-topic tracks the evolution of biomass energy research, moving from early thermal integration concepts to broad assessments of feedstock potential, culminating in a focus on integrated biorefinery and gasification pathways across diverse global contexts.",2000-2005,2006-2011,2012-2018,2019-2025,"Early focus on thermal integration, waste processing, and small-scale decentralized energy solutions using incineration and gasification.","Shift towards integrated systems, life cycle assessments, and regional feasibility studies across agricultural and industrial residues.","Broadening scope to sustainability assessments, feedstock potential modeling, and the technical viability of various bioenergy outputs like biodiesel and biogas.","Intense focus on large-scale potential assessment, geospatial modeling, and the integration of advanced concepts like biorefineries and syngas production within the context of the bioeconomy.",,,aligned,included_noncorporate,direct_pair_with_corporate_above_threshold,corporate_T1_PG04,academic__corporate,955,1,25,2000,2025,"[""bioenergy"", ""biomass"", ""gasification"", ""biorefinery"", ""biogas"", ""biochar"", ""bioeconomy"", ""syngas"", ""feedstocks"", ""ghg""]"
academic_T1::academic_T1_S080,T1,Clean energy transition,academic,academic_T1,academic_T1_S080,31,Central Asian Energy Transition and Water Security,80_uzbekistan_azerbaijan_kazakhstan_hydropower,Central Asian Energy Transition and Water Security,"The micro-topic tracks the evolution of energy discussions in Central Asia, shifting from early focuses on transboundary water and hydropower conflicts to broader themes of renewable energy adoption, ecosystem sustainability, and geopolitical energy security across the region.",2010,2011-2012,2016-2019,2020-2025,Initial focus on the conflict between upstream hydropower generation and downstream irrigation/water demands in transboundary river systems.,"Early exploration of governance and energy sector development, with a brief pivot towards broader energy security and policy reviews.","Diversification away from core hydropower to examine renewable potential (solar/PV, bioenergy) and socio-economic impacts in mountain regions and specific countries.","Mature focus on the regional energy transition, integrating hydropower limitations with broader themes of ecosystem preservation, sustainable development, and geopolitical energy security across the key Central Asian economies.",,,aligned,included_noncorporate,direct_pair_with_corporate_above_threshold,corporate_T1_PG04,academic__corporate,75,1,11,2010,2025,"[""uzbekistan"", ""azerbaijan"", ""kazakhstan"", ""hydropower"", ""kyrgyzstan"", ""geopolitical"", ""sectors"", ""tajikistan"", ""economies"", ""climatic""]"
academic_T1::academic_T1_PG08,T1,Clean energy transition,academic,academic_T1,academic_T1_PG08,15,China's Low-Carbon Energy Transition and Regional Focus,15_china_guangdong_lowcarbon_heilongjiang,China's Low-Carbon Energy Transition and Regional Focus,"The micro-topic generally tracks the evolution of China's energy transition towards low-carbon goals, shifting focus from broad national policy and renewable integration challenges to specific regional case studies and technical modeling.",2004-2010,2011-2013,2014-2018,2019-2025,"Early phase characterized by significant topic drift, with evidence heavily focused on non-Chinese geographies (Jordan, India, Taiwan) while attempting to touch upon China's renewable energy status.","Focus solidifies on China's national energy transition, specifically analyzing the integration challenges of hydropower and wind power into the national grid system.","Strong alignment with the topic name, emphasizing low-carbon ecosystems, pollution control, and specific regional efforts within China, notably Guangdong.","The focus narrows onto China's long-term decarbonization targets (2030/2050), utilizing advanced modeling and addressing the complexities of its coal-dependent structure, though regional specificity remains inconsistent.",,,aligned,included_noncorporate,direct_pair_with_corporate_above_threshold,corporate_T1_PG04,academic__corporate,479,3,22,2004,2025,"[""china"", ""guangdong"", ""lowcarbon"", ""heilongjiang"", ""agglomerations"", ""emission"", ""chengdu"", ""beijing"", ""gansu"", ""hunan""]"
academic_T1::academic_T1_S009,T1,Clean energy transition,academic,academic_T1,academic_T1_S009,8,Cointegration and Econometric Analysis of Energy-Economy Nexus,9_cointegration_econometric_oecd_autoregressive,Cointegration and Econometric Analysis of Energy-Economy Nexus,"The micro-topic consistently applies advanced econometric techniques, particularly cointegration and autoregressive models, to study the long-term causal relationships between economic indicators (like GDP) and energy/environmental variables across various international economic groupings, with a strong presence of OECD contexts.",2011-2013,2014-2017,2018-2021,2022-2025,"Initial phase focused on applying panel data techniques to energy demand analysis, structural changes, and early investigations into the relationship between renewable energy adoption and GHG emissions using ARDL and causality tests.","The focus broadened to include the nexus between energy consumption, economic growth, and governance factors within OECD nations, utilizing cointegration and panel models to analyze causality across different economic contexts.","This phase solidified the application of advanced time-series methods (VECM, ARDL) to study the dynamic interplay between renewable energy, economic indicators, and causality across various regional groupings, including emerging economies.","The most recent phase shows a high degree of methodological consistency, heavily relying on cointegration and ARDL to assess long-run equilibrium relationships between economic expansion, energy use, and environmental outcomes across diverse national contexts.",Consistent methodological refinement and broadening of geographical scope while maintaining the core econometric focus.,"The evolution shows a steady increase in frequency and a refinement from general energy demand modeling (2011) to highly specific, advanced ARDL/cointegration applications across multiple global groupings (2024-2025).",aligned,included_noncorporate,direct_pair_with_corporate_above_threshold,corporate_T1_PG04,academic__corporate,396,1,14,2011,2025,"[""cointegration"", ""econometric"", ""oecd"", ""autoregressive"", ""brics"", ""gdp"", ""economies"", ""causality"", ""regression"", ""co2""]"
academic_T1::academic_T1_S072,T1,Clean energy transition,academic,academic_T1,academic_T1_S072,27,EU Energy Transition Monitoring and Policy Implementation,72_eurostat_eu_baltic_indicators,EU Energy Transition Monitoring and Policy Implementation,"The micro-topic tracks the evolution of EU energy policy implementation, focusing heavily on renewable energy adoption, economic competitiveness, and indicator tracking across various member states, with a notable, though sometimes tangential, focus on Eastern/Baltic countries.",2005-2009,2011-2015,2016-2021,2022-2025,"Early phase characterized by national policy deep dives into specific renewable energy technologies (wind, industrial development) within the EU context, with initial attention on Poland and Denmark.","Mid-period shift towards broader EU policy modeling, focusing on feasibility studies, emission targets, and comparative national performance across various EU economies.","A strong, sustained focus on case studies within Central and Eastern Europe, particularly Romania, examining the financial realities, policy hurdles, and implementation challenges of renewable energy adoption.","Later phase returns to a more quantitative, high-level EU monitoring role, using Eurostat data to assess overall progress against strategic targets, culminating in a strong focus on the Baltic region's specific transition.",Policy Focus -> Comparative Modeling -> Regional Case Studies (CEE) -> Macro-Level Monitoring (EU/Baltic),The topic exhibits a clear drift from broad EU policy discussions to intense national/regional case studies (Romania/Baltics) before settling back into a high-level EU indicator assessment.,aligned,included_noncorporate,direct_pair_with_corporate_above_threshold,corporate_T1_PG04,academic__corporate,91,1,17,2005,2025,"[""eurostat"", ""eu"", ""baltic"", ""indicators"", ""countries"", ""estonia"", ""latvia"", ""econometric"", ""ress"", ""sdg7""]"
academic_T1::academic_T1_S019,T1,Clean energy transition,academic,academic_T1,academic_T1_S019,12,Evolution of Bioenergy and Energy Transition in Ukraine,19_ukraine_ukrainian_bioenergy_economy,Evolution of Bioenergy and Energy Transition in Ukraine,"The micro-topic tracks the evolution of energy discussions related to Ukraine, moving from early, broad assessments of Russian energy systems to a highly focused, technical, and geopolitical analysis of Ukraine's renewable energy transition, with a strong emphasis on bioenergy and grid modernization.",2001,2014-2017,2018-2022,2023-2025,"Initial focus on Russian energy sector analysis, touching upon bioenergy utilization and technological innovations.","Early focus on domestic policy mechanisms, stability, and the potential for renewable energy development in Ukraine, alongside broader regional modernization efforts.","Intense focus on specific Ukrainian energy resources and systems, including hydropower potential, market liberalization, and the integration of various renewable technologies (bioenergy, solar, hydro) into the national energy strategy.","Mature focus on achieving energy security and resilience in Ukraine through advanced integration of bioenergy and other renewables into modernized, secure energy grids, heavily influenced by geopolitical realities.",Broad Regional Assessment -> Domestic Policy Focus -> Resource Specific Development -> Geopolitical Resilience & Integration,"The topic shows a clear geographical and thematic shift from early Russian energy discussions to a sustained, deep dive into Ukraine's renewable energy potential and its integration challenges.",aligned,included_noncorporate,direct_pair_with_corporate_above_threshold,corporate_T1_PG04,academic__corporate,261,1,13,2001,2025,"[""ukraine"", ""ukrainian"", ""bioenergy"", ""economy"", ""eu"", ""competitiveness"", ""russia"", ""urals"", ""conclusions"", ""modernization""]"
academic_T1::academic_T1_S005,T1,Clean energy transition,academic,academic_T1,academic_T1_S005,4,Evolution of Electrification Strategies in Africa towards SDG Goals,5_electrification_sdg_subsidies_2030,Evolution of Electrification Strategies in Africa towards SDG Goals,"The micro-topic tracks the evolution of electrification efforts across Africa, shifting from early institutional/methodological concerns to a strong focus on decentralized, sustainable, and policy-driven solutions, particularly within the Nigerian context, with an increasing emphasis on achieving SDG targets by 2030.",2000-2004,2005-2011,2012-2018,2019-2025,"Initial phase characterized by foundational discussions on institutional energy efficiency, establishing project baselines, and analyzing early regulatory frameworks for energy markets in developing economies.","Focus broadened to implementation challenges, contrasting large-scale programs with decentralized models, and examining the role of financing and policy mechanisms in rural electrification across various African contexts.","The discourse intensified on the sustainability of energy access, critically assessing the limitations of existing infrastructure (like fuelwood dependence) and the socio-economic impacts of energy deficits on households.","The final phase became highly focused on actionable, scalable solutions, emphasizing the deployment of microgrids and renewable energy technologies to meet SDG targets, with a dominant lens on Nigeria's energy transition strategy.",Foundational/Methodological -> Implementation/Policy Hurdles -> Sustainability/Socioeconomic Impact -> Scalable Deployment/National Strategy,"The transition shows a clear movement from broad, theoretical/regional discussions (2000-2011) to a highly focused, technology-driven, and nationally-contextualized approach centered on Nigeria's renewable energy pathway (2019-2025).",aligned,included_noncorporate,direct_pair_with_corporate_above_threshold,corporate_T1_PG04,academic__corporate,840,1,25,2000,2025,"[""electrification"", ""sdg"", ""subsidies"", ""2030"", ""nigeria"", ""minigrids"", ""initiatives"", ""rural"", ""households"", ""socioeconomic""]"
academic_T1::academic_T1_PG01,T1,Clean energy transition,academic,academic_T1,academic_T1_PG01,0,Evolution of Electrochemical Energy Storage Materials,0_anodes_cathodes_electrochemical_ions,Evolution of Electrochemical Energy Storage Materials,"The micro-topic evolved from early explorations of fuel cells and hydrogen systems to a deep focus on advanced battery and supercapacitor material science, heavily emphasizing sustainable, ion-based, and nanostructured components.",2000-2002,2003-2007,2008-2013,2014-2025,"Early focus on macro-level energy systems, including fuel cells and initial investigations into electrochemical storage mechanisms using specific electrode chemistries.","Transition into dedicated battery and storage material development, focusing on high-energy density chemistries like Li/S and characterizing electrode performance using electrochemical techniques.","Broadening scope to sustainable and alternative ion systems, including CO2 reduction, ionic liquids, and the rise of sodium-ion battery research.","Intense focus on next-generation, sustainable energy storage, driven by solid-state, aqueous, and advanced carbon/graphene materials for both batteries and supercapacitors.",,,aligned,included_noncorporate,direct_pair_with_corporate_above_threshold,corporate_T1_PG04,academic__corporate,7040,23,26,2000,2025,"[""anodes"", ""cathodes"", ""electrochemical"", ""ions"", ""supercapacitors"", ""supercapacitor"", ""ionic"", ""electrolyte"", ""rechargeable"", ""electrodes""]"
