macro_topic,macro_topic_name,source,subgroup,final_merge_group_id,micro_topic_id,topic_label,topic_name_original,topic_summary,year,year_frequency,denominator_source_docs_in_macro_topic,relative_share_of_macro_topic_source_docs,year_document_count,annual_source_macro_document_count,annual_document_prevalence,external_unique_document_count,external_topic_size_count,external_group_size_count,best_matched_corporate_group_id,best_matched_corporate_label,best_cosine_similarity,topic_id
T1,Clean energy transition,academic,academic_T1,academic_T1_PG10,21,Oceanographic Waves and Marine Energy Technology,21_oceanographic_waves_ocean_wave,"The micro-topic tracks the evolution of research interest in harnessing ocean waves and marine environments for energy generation, transitioning from broad strategic views to highly technical engineering and deployment challenges, with a strong late-stage convergence toward offshore wind infrastructure.",2000,0,19586,0.0,0,9,0.0,197,206,2,corporate_T1_PG03,HCF Capability and Renewable Profitability Trajectory,0.5883891582489014,academic_T1::academic_T1_PG10
T1,Clean energy transition,academic,academic_T1,academic_T1_PG10,21,Oceanographic Waves and Marine Energy Technology,21_oceanographic_waves_ocean_wave,"The micro-topic tracks the evolution of research interest in harnessing ocean waves and marine environments for energy generation, transitioning from broad strategic views to highly technical engineering and deployment challenges, with a strong late-stage convergence toward offshore wind infrastructure.",2001,0,19586,0.0,0,23,0.0,197,206,2,corporate_T1_PG03,HCF Capability and Renewable Profitability Trajectory,0.5883891582489014,academic_T1::academic_T1_PG10
T1,Clean energy transition,academic,academic_T1,academic_T1_PG10,21,Oceanographic Waves and Marine Energy Technology,21_oceanographic_waves_ocean_wave,"The micro-topic tracks the evolution of research interest in harnessing ocean waves and marine environments for energy generation, transitioning from broad strategic views to highly technical engineering and deployment challenges, with a strong late-stage convergence toward offshore wind infrastructure.",2002,2,19586,0.0001021137547227,2,21,0.0952380952380952,197,206,2,corporate_T1_PG03,HCF Capability and Renewable Profitability Trajectory,0.5883891582489014,academic_T1::academic_T1_PG10
T1,Clean energy transition,academic,academic_T1,academic_T1_PG10,21,Oceanographic Waves and Marine Energy Technology,21_oceanographic_waves_ocean_wave,"The micro-topic tracks the evolution of research interest in harnessing ocean waves and marine environments for energy generation, transitioning from broad strategic views to highly technical engineering and deployment challenges, with a strong late-stage convergence toward offshore wind infrastructure.",2003,0,19586,0.0,0,18,0.0,197,206,2,corporate_T1_PG03,HCF Capability and Renewable Profitability Trajectory,0.5883891582489014,academic_T1::academic_T1_PG10
T1,Clean energy transition,academic,academic_T1,academic_T1_PG10,21,Oceanographic Waves and Marine Energy Technology,21_oceanographic_waves_ocean_wave,"The micro-topic tracks the evolution of research interest in harnessing ocean waves and marine environments for energy generation, transitioning from broad strategic views to highly technical engineering and deployment challenges, with a strong late-stage convergence toward offshore wind infrastructure.",2004,0,19586,0.0,0,24,0.0,197,206,2,corporate_T1_PG03,HCF Capability and Renewable Profitability Trajectory,0.5883891582489014,academic_T1::academic_T1_PG10
T1,Clean energy transition,academic,academic_T1,academic_T1_PG10,21,Oceanographic Waves and Marine Energy Technology,21_oceanographic_waves_ocean_wave,"The micro-topic tracks the evolution of research interest in harnessing ocean waves and marine environments for energy generation, transitioning from broad strategic views to highly technical engineering and deployment challenges, with a strong late-stage convergence toward offshore wind infrastructure.",2005,2,19586,0.0001021137547227,2,38,0.0526315789473684,197,206,2,corporate_T1_PG03,HCF Capability and Renewable Profitability Trajectory,0.5883891582489014,academic_T1::academic_T1_PG10
T1,Clean energy transition,academic,academic_T1,academic_T1_PG10,21,Oceanographic Waves and Marine Energy Technology,21_oceanographic_waves_ocean_wave,"The micro-topic tracks the evolution of research interest in harnessing ocean waves and marine environments for energy generation, transitioning from broad strategic views to highly technical engineering and deployment challenges, with a strong late-stage convergence toward offshore wind infrastructure.",2006,0,19586,0.0,0,50,0.0,197,206,2,corporate_T1_PG03,HCF Capability and Renewable Profitability Trajectory,0.5883891582489014,academic_T1::academic_T1_PG10
T1,Clean energy transition,academic,academic_T1,academic_T1_PG10,21,Oceanographic Waves and Marine Energy Technology,21_oceanographic_waves_ocean_wave,"The micro-topic tracks the evolution of research interest in harnessing ocean waves and marine environments for energy generation, transitioning from broad strategic views to highly technical engineering and deployment challenges, with a strong late-stage convergence toward offshore wind infrastructure.",2007,0,19586,0.0,0,50,0.0,197,206,2,corporate_T1_PG03,HCF Capability and Renewable Profitability Trajectory,0.5883891582489014,academic_T1::academic_T1_PG10
T1,Clean energy transition,academic,academic_T1,academic_T1_PG10,21,Oceanographic Waves and Marine Energy Technology,21_oceanographic_waves_ocean_wave,"The micro-topic tracks the evolution of research interest in harnessing ocean waves and marine environments for energy generation, transitioning from broad strategic views to highly technical engineering and deployment challenges, with a strong late-stage convergence toward offshore wind infrastructure.",2008,0,19586,0.0,0,75,0.0,197,206,2,corporate_T1_PG03,HCF Capability and Renewable Profitability Trajectory,0.5883891582489014,academic_T1::academic_T1_PG10
T1,Clean energy transition,academic,academic_T1,academic_T1_PG10,21,Oceanographic Waves and Marine Energy Technology,21_oceanographic_waves_ocean_wave,"The micro-topic tracks the evolution of research interest in harnessing ocean waves and marine environments for energy generation, transitioning from broad strategic views to highly technical engineering and deployment challenges, with a strong late-stage convergence toward offshore wind infrastructure.",2009,0,19586,0.0,0,73,0.0,197,206,2,corporate_T1_PG03,HCF Capability and Renewable Profitability Trajectory,0.5883891582489014,academic_T1::academic_T1_PG10
T1,Clean energy transition,academic,academic_T1,academic_T1_PG10,21,Oceanographic Waves and Marine Energy Technology,21_oceanographic_waves_ocean_wave,"The micro-topic tracks the evolution of research interest in harnessing ocean waves and marine environments for energy generation, transitioning from broad strategic views to highly technical engineering and deployment challenges, with a strong late-stage convergence toward offshore wind infrastructure.",2010,0,19586,0.0,0,119,0.0,197,206,2,corporate_T1_PG03,HCF Capability and Renewable Profitability Trajectory,0.5883891582489014,academic_T1::academic_T1_PG10
T1,Clean energy transition,academic,academic_T1,academic_T1_PG10,21,Oceanographic Waves and Marine Energy Technology,21_oceanographic_waves_ocean_wave,"The micro-topic tracks the evolution of research interest in harnessing ocean waves and marine environments for energy generation, transitioning from broad strategic views to highly technical engineering and deployment challenges, with a strong late-stage convergence toward offshore wind infrastructure.",2011,3,19586,0.0001531706320841,3,136,0.0220588235294117,197,206,2,corporate_T1_PG03,HCF Capability and Renewable Profitability Trajectory,0.5883891582489014,academic_T1::academic_T1_PG10
