macro_topic,macro_topic_name,corporate_topic_id,subgroup_corporate,final_merge_group_id_corporate,topic_label_refined_corporate,corporate_unique_document_count,external_topic_id,source_noncorporate,subgroup_noncorporate,final_merge_group_id_noncorporate,topic_label_refined_noncorporate,overall_summary_noncorporate,external_unique_document_count,best_cosine_similarity,best_pair_id,direct_pair_count
T1,Clean energy transition,corporate_T1::corporate_T1_PG04,corporate_T1,corporate_T1_PG04,Evolution of Demand Drivers in Energy Transition,63,academic_T1::academic_T1_PG01,academic,academic_T1,academic_T1_PG01,Evolution of Electrochemical Energy Storage Materials,"The micro-topic evolved from early explorations of fuel cells and hydrogen systems to a deep focus on advanced battery and supercapacitor material science, heavily emphasizing sustainable, ion-based, and nanostructured components.",6632,0.6410759687423706,academic__corporate__T1__academic_0__corporate_3,1
T1,Clean energy transition,corporate_T1::corporate_T1_PG04,corporate_T1,corporate_T1_PG04,Evolution of Demand Drivers in Energy Transition,63,academic_T1::academic_T1_PG04,academic,academic_T1,academic_T1_PG04,Evolution of Participatory Stakeholder Engagement in Energy Transitions,"The micro-topic tracks the evolution of participatory engagement, moving from early community readiness and local governance concerns to highly technical, systemic, and discourse-driven analyses of the Energiewende and decentralized energy systems.",3525,0.6390330791473389,academic__corporate__T1__academic_5__corporate_3,2
T1,Clean energy transition,corporate_T1::corporate_T1_PG04,corporate_T1,corporate_T1_PG04,Evolution of Demand Drivers in Energy Transition,63,academic_T1::academic_T1_PG03,academic,academic_T1,academic_T1_PG03,V2G and EV Integration Evolution,"The micro-topic traces the evolution of EV integration, starting from early energy conversion concepts, moving through specific vehicle types (PHEV/PEV), and culminating in a strong focus on Vehicle-to-Grid (V2G) bidirectional energy exchange, infrastructure planning, and renewable energy integration.",1735,0.5927625894546509,academic__corporate__T1__academic_2__corporate_3,0
T1,Clean energy transition,corporate_T1::corporate_T1_PG04,corporate_T1,corporate_T1_PG04,Evolution of Demand Drivers in Energy Transition,63,academic_T1::academic_T1_PG05,academic,academic_T1,academic_T1_PG05,PV-based Microgrid Development and Optimization,"The micro-topic evolved from early considerations of island energy dependency to a highly technical focus on optimizing and implementing PV-based hybrid microgrids for rural and industrial electrification, culminating in advanced system monitoring.",953,0.6125353574752808,academic__corporate__T1__academic_6__corporate_3,1
T1,Clean energy transition,corporate_T1::corporate_T1_PG04,corporate_T1,corporate_T1_PG04,Evolution of Demand Drivers in Energy Transition,63,academic_T1::academic_T1_S004,academic,academic_T1,academic_T1_S004,Biomass Energy Conversion Pathways and Sustainability Assessment,"The micro-topic tracks the evolution of biomass energy research, moving from early thermal integration concepts to broad assessments of feedstock potential, culminating in a focus on integrated biorefinery and gasification pathways across diverse global contexts.",908,0.6487650871276855,academic__corporate__T1__academic_3__corporate_3,3
T1,Clean energy transition,corporate_T1::corporate_T1_PG04,corporate_T1,corporate_T1_PG04,Evolution of Demand Drivers in Energy Transition,63,academic_T1::academic_T1_PG06,academic,academic_T1,academic_T1_PG06,Renewable Energy Pathways and System Integration for Decarbonization,"The micro-topic traces the evolution of research from broad policy discussions on sustainable energy pathways to highly technical modeling of integrated thermal and energy systems, with a strong emphasis on geothermal and waste heat recovery.",785,0.6395883560180664,academic__corporate__T1__academic_10__corporate_3,1
T1,Clean energy transition,corporate_T1::corporate_T1_PG04,corporate_T1,corporate_T1_PG04,Evolution of Demand Drivers in Energy Transition,63,academic_T1::academic_T1_S005,academic,academic_T1,academic_T1_S005,Evolution of Electrification Strategies in Africa towards SDG Goals,"The micro-topic tracks the evolution of electrification efforts across Africa, shifting from early institutional/methodological concerns to a strong focus on decentralized, sustainable, and policy-driven solutions, particularly within the Nigerian context, with an increasing emphasis on achieving SDG targets by 2030.",783,0.639420747756958,academic__corporate__T1__academic_4__corporate_3,1
T1,Clean energy transition,corporate_T1::corporate_T1_PG04,corporate_T1,corporate_T1_PG04,Evolution of Demand Drivers in Energy Transition,63,academic_T1::academic_T1_PG07,academic,academic_T1,academic_T1_PG07,Piezoelectric Energy Harvesting Evolution,"The micro-topic tracks the evolution of piezoelectric energy harvesting, starting from broad MEMS/thermoelectric concepts, transitioning through ambient energy scavenging and mechanical vibration harvesting, and culminating in highly specialized applications like footstep and flexible nanogenerators.",671,0.5501924753189087,academic__corporate__T1__academic_13__corporate_3,0
T1,Clean energy transition,corporate_T1::corporate_T1_PG04,corporate_T1,corporate_T1_PG04,Evolution of Demand Drivers in Energy Transition,63,academic_T1::academic_T1_PG08,academic,academic_T1,academic_T1_PG08,China's Low-Carbon Energy Transition and Regional Focus,"The micro-topic generally tracks the evolution of China's energy transition towards low-carbon goals, shifting focus from broad national policy and renewable integration challenges to specific regional case studies and technical modeling.",465,0.6547949314117432,academic__corporate__T1__academic_15__corporate_3,1
T1,Clean energy transition,corporate_T1::corporate_T1_PG04,corporate_T1,corporate_T1_PG04,Evolution of Demand Drivers in Energy Transition,63,academic_T1::academic_T1_S008,academic,academic_T1,academic_T1_S008,MCDM Application in Energy Assessment,"The micro-topic tracks the evolution of applying combined MCDM techniques, primarily TOPSIS and AHP, to evaluate and prioritize various renewable energy sources and system designs across different geographical and technological contexts.",455,0.6295667290687561,academic__corporate__T1__academic_7__corporate_3,2
