relation_id,macro_topic,macro_topic_name,corporate_topic_label,external_source,external_relation_label,external_topic_label,external_final_merge_group_id,corporate_unique_document_count,external_unique_document_count,spearman_r,spearman_p,corporate_first_active_year,external_first_active_year,first_active_year_gap,corporate_peak_year,external_peak_year,peak_year_gap,peak_analysis_result,external_prior_exposure_3y_sum,external_prior_exposure_3y_mean,corporate_onset_prevalence,corporate_following_3y_max_prevalence,corporate_later_growth_3y,prior_exposure_later_growth_pattern
individual::0001,T1,Clean energy transition,Energy Supply Chain Vulnerabilities in Mining,media,"Subsidies, Affordability, and Regulatory Scrutiny of Energy Costs","Subsidies, Affordability, and Regulatory Scrutiny of Energy Costs",media_T1_S007,47,78,-0.0561006307060838,0.7993061533453917,2008,2004,4.0,2025,2022,3.0,External peaks before corporate (corporate peak: 2025; external peak: 2022; gap: 3),0.04,0.0133333333333333,0.0769230769230769,0.1666666666666666,0.0897435897435897,external_prior_exposure_with_later_corporate_growth
individual::0002,T1,Clean energy transition,Evolution of Demand Drivers in Energy Transition,academic,Agrivoltaics Technology Evolution,Agrivoltaics Technology Evolution,academic_T1_PG09,63,304,0.6803300045614836,0.0003541038918584,2007,2009,-2.0,2023,2009,14.0,External peaks before corporate (corporate peak: 2023; external peak: 2009; gap: 14),0.0,0.0,0.1666666666666666,0.0769230769230769,-0.0897435897435897,no_prior_external_exposure_no_later_corporate_growth
individual::0003,T1,Clean energy transition,Evolution of Demand Drivers in Energy Transition,academic,Bibliometric Analysis of Energy and Sustainability Trends,Bibliometric Analysis of Energy and Sustainability Trends,academic_T1_S084,63,65,0.5579864067375488,0.0056616163433007,2007,2014,-7.0,2023,2025,-2.0,Corporate peaks before external (corporate peak: 2023; external peak: 2025; gap: -2),0.0,0.0,0.1666666666666666,0.0769230769230769,-0.0897435897435897,no_prior_external_exposure_no_later_corporate_growth
individual::0004,T1,Clean energy transition,Evolution of Demand Drivers in Energy Transition,academic,Biomass Energy Conversion Pathways and Sustainability Assessment,Biomass Energy Conversion Pathways and Sustainability Assessment,academic_T1_S004,63,908,-0.7211508333975658,0.0001032885570552,2007,2000,7.0,2023,2012,11.0,External peaks before corporate (corporate peak: 2023; external peak: 2012; gap: 11),0.2885964912280702,0.0961988304093567,0.1666666666666666,0.0769230769230769,-0.0897435897435897,external_prior_exposure_without_later_corporate_growth
individual::0005,T1,Clean energy transition,Evolution of Demand Drivers in Energy Transition,academic,Central Asian Energy Transition and Water Security,Central Asian Energy Transition and Water Security,academic_T1_S080,63,74,0.4503806864689442,0.0310366239112614,2007,2010,-3.0,2023,2010,13.0,External peaks before corporate (corporate peak: 2023; external peak: 2010; gap: 13),0.0,0.0,0.1666666666666666,0.0769230769230769,-0.0897435897435897,no_prior_external_exposure_no_later_corporate_growth
individual::0006,T1,Clean energy transition,Evolution of Demand Drivers in Energy Transition,academic,China's Low-Carbon Energy Transition and Regional Focus,China's Low-Carbon Energy Transition and Regional Focus,academic_T1_PG08,63,465,-0.4471236097902332,0.032426461352263,2007,2004,3.0,2023,2007,16.0,External peaks before corporate (corporate peak: 2023; external peak: 2007; gap: 16),0.1279824561403508,0.0426608187134502,0.1666666666666666,0.0769230769230769,-0.0897435897435897,external_prior_exposure_without_later_corporate_growth
individual::0007,T1,Clean energy transition,Evolution of Demand Drivers in Energy Transition,academic,Cointegration and Econometric Analysis of Energy-Economy Nexus,Cointegration and Econometric Analysis of Energy-Economy Nexus,academic_T1_S009,63,381,0.7437242967233566,4.753392173953586e-05,2007,2011,-4.0,2023,2025,-2.0,Corporate peaks before external (corporate peak: 2023; external peak: 2025; gap: -2),0.0,0.0,0.1666666666666666,0.0769230769230769,-0.0897435897435897,no_prior_external_exposure_no_later_corporate_growth
individual::0008,T1,Clean energy transition,Evolution of Demand Drivers in Energy Transition,academic,EU Energy Transition Monitoring and Policy Implementation,EU Energy Transition Monitoring and Policy Implementation,academic_T1_S072,63,87,0.0203629987593236,0.926522699518838,2007,2005,2.0,2023,2005,18.0,External peaks before corporate (corporate peak: 2023; external peak: 2005; gap: 18),0.0263157894736842,0.0087719298245614,0.1666666666666666,0.0769230769230769,-0.0897435897435897,external_prior_exposure_without_later_corporate_growth
individual::0009,T1,Clean energy transition,Evolution of Demand Drivers in Energy Transition,academic,Evolution of Bioenergy and Energy Transition in Ukraine,Evolution of Bioenergy and Energy Transition in Ukraine,academic_T1_S019,63,237,0.7419426460185635,5.067964674586282e-05,2007,2001,6.0,2023,2001,22.0,External peaks before corporate (corporate peak: 2023; external peak: 2001; gap: 22),0.0,0.0,0.1666666666666666,0.0769230769230769,-0.0897435897435897,no_prior_external_exposure_no_later_corporate_growth
individual::0010,T1,Clean energy transition,Evolution of Demand Drivers in Energy Transition,academic,Evolution of Electrification Strategies in Africa towards SDG Goals,Evolution of Electrification Strategies in Africa towards SDG Goals,academic_T1_S005,63,783,-0.5394753260335884,0.0078915300413791,2007,2000,7.0,2023,2003,20.0,External peaks before corporate (corporate peak: 2023; external peak: 2003; gap: 20),0.2685964912280701,0.08953216374269,0.1666666666666666,0.0769230769230769,-0.0897435897435897,external_prior_exposure_without_later_corporate_growth
